1,"SOCIETE DES SUCRERIES DU MARQUENTERRE",005420120,00542012000015,00015,1989-01-27,02,RUE,80120
2,"ETABLISSEMENTS BONNET FRERES",005541552,00554155200013,00013,1974-01-01,01,BEAUVEZER,04370
3,"CISN COOPERATIVE",005580113,00558011300040,00040,2018-12-20,01,TRIGNAC,44570
4,"ETABLISSEMENTS ROGER",005620034,00562003400016,00016,1956-01-01,11,ABBEVILLE,80100
5,"ETABLISSEMENTS DUBOIS",005620117,00562011700019,00019,1900-01-01,02,ABBEVILLE,80100
6,"SOCIETE RIQUIER ET CIE",005620174,00562017400036,00036,2016-01-01,01,CAHON,80132
7,"SARL RIGAULT ET CIE",005650031,00565003100015,00015,1956-01-01,02,ANNOT,04240
8,"SCIC VALDURANCE HABITAT",005650148,00565014800033,00033,2000-01-01,01,DIGNE-LES-BAINS,04000
9,"SOCIETE ANONYME DES DUNES DE LA SOMME",005720313,00572031300039,00039,2016-06-18,01,SAINT-QUENTIN-EN-TOURMONT,80120
10,"PICARDIE MARITIME HABITAT FONDATION PAUL DUCLERCQ",005720610,00572061000012,00012,1957-01-01,01,ABBEVILLE,80100
11,"ETABLISSEMENTS DEMORTAIN",005720644,00572064400011,00011,1957-01-01,01,RUE,80120
12,"FORGEZ PERE ET FILS",005720685,00572068500014,00014,1957-01-01,02,CAOURS,80132
13,"ETABLISSEMENTS DECAYEUX",005720784,00572078400148,00148,2011-01-01,01,TREMBLAY-EN-FRANCE,93290
14,"ENTREPRISE COMBA",005750385,00575038500030,00030,1998-12-22,11,ORAISON,04700
15,"ENTREPRISE COMBA",005750385,00575038500055,00055,2009-01-01,01,ORAISON,04700
16,"SERVICE ASSISTANCE TRANSCATIONS AUTO",005750583,00575058300048,00048,1990-11-24,02,BARCELONNETTE,04400
17,"SOCIETE IMMOBILIERE TOURISTIQUE ET HOTELIERE DE LA BAULE EN ABREGE SITH LA BAULE",005780960,00578096000067,00067,2008-04-16,02,"LA BAULE-ESCOUBLAC",44500
18,"SOCIETE IMMOBILIERE TOURISTIQUE ET HOTELIERE DE LA BAULE EN ABREGE SITH LA BAULE",005780960,00578096000109,00109,2008-04-16,02,"LA BAULE-ESCOUBLAC",44500
19,"IDEA GROUPE",005781133,00578113300052,00052,2006-04-01,01,MONTOIR-DE-BRETAGNE,44550
20,"HOTEL LA CONCORDE",005870027,00587002700017,00017,1969-01-01,01,"LA BAULE-ESCOUBLAC",44500
21,"GEDIMO HOLDING",005880596,00588059600027,00027,1993-12-31,01,SAINT-NICOLAS-DE-REDON,44460
22,"SA COOPERATIVE D'INTERET COLLECTIF POURL'ACCESSION A LA PROPRIETE DE ST-NAZAIREET DE LA REGION DES PAYS DE LA LOIRE",005880679,00588067900013,00013,1958-01-01,01,SAINT-NAZAIRE,44600
23,"SA COOPERATIVE D'INTERET COLLECTIF POURL'ACCESSION A LA PROPRIETE DE ST-NAZAIREET DE LA REGION DES PAYS DE LA LOIRE",005880679,00588067900047,00047,2018-11-09,01,TRIGNAC,44570
24,"SARL BEAUVISAGE TOULLET",005920194,00592019400015,00015,1900-01-01,11,BRAILLY-CORNEHOTTE,80150
25,"SARL BEAUVISAGE TOULLET",005920194,00592019400023,00023,1990-01-01,02,NOUVION,80860
26,"SARL BEAUVISAGE TOULLET",005920194,00592019400031,00031,2013-04-24,02,FLIXECOURT,80420
27,"SOCIETE NAZAIRIENNE DE MECANIQUE",005980016,00598001600025,00025,1990-11-01,11,MONTOIR-DE-BRETAGNE,44550
28,"ETABLISSEMENTS PIED ET PERRAUD",006076434,00607643400023,00023,1988-02-01,11,PORNICHET,44380
29,"COOP BREIZH",006080170,00608017000076,00076,1997-01-15,01,LORIENT,56100
30,"COOP BREIZH",006080170,00608017000092,00092,2013-10-25,01,QUIMPER,29000
31,"LE DAHUT",006150148,00615014800010,00010,1961-01-01,01,ALLOS,04260
32,"COMPTOIR ATLANTIQUE DONGEOIS DE DISTRIBUTION ET D 'APPROVISIONNEMENTS DE CONSTRUCTION C.A.D.D.A.C.",006280309,00628030900029,00029,1900-01-01,02,GUERANDE,44350
33,"COMPTOIR ATLANTIQUE DONGEOIS DE DISTRIBUTION ET D 'APPROVISIONNEMENTS DE CONSTRUCTION C.A.D.D.A.C.",006280309,00628030900045,00045,1900-01-01,02,DONGES,44480
34,"COMPTOIR ATLANTIQUE DONGEOIS DE DISTRIBUTION ET D 'APPROVISIONNEMENTS DE CONSTRUCTION C.A.D.D.A.C.",006280309,00628030900078,00078,2001-01-01,11,"LE LOROUX-BOTTEREAU",44430
35,"COMPTOIR ATLANTIQUE DONGEOIS DE DISTRIBUTION ET D 'APPROVISIONNEMENTS DE CONSTRUCTION C.A.D.D.A.C.",006280309,00628030900094,00094,2013-01-01,11,RIEC-SUR-BELON,29340
36,"COMPTOIR ATLANTIQUE DONGEOIS DE DISTRIBUTION ET D 'APPROVISIONNEMENTS DE CONSTRUCTION C.A.D.D.A.C.",006280309,00628030900110,00110,2020-02-03,02,SAINT-HERBLAIN,44800
37,"COMPTOIR ATLANTIQUE DONGEOIS DE DISTRIBUTION ET D 'APPROVISIONNEMENTS DE CONSTRUCTION C.A.D.D.A.C.",006280309,00628030900128,00128,2020-06-30,02,SAINT-AVE,56890
38,"COMPTOIR ATLANTIQUE DONGEOIS DE DISTRIBUTION ET D 'APPROVISIONNEMENTS DE CONSTRUCTION C.A.D.D.A.C.",006280309,00628030900136,00136,2020-06-30,01,CRACH,56950
39,"COMPTOIR ATLANTIQUE DONGEOIS DE DISTRIBUTION ET D 'APPROVISIONNEMENTS DE CONSTRUCTION C.A.D.D.A.C.",006280309,00628030900144,00144,2020-06-30,01,HENNEBONT,56700
40,"SOCIETE DE MOISMONT",006320048,00632004800017,00017,1900-01-01,01,VRON,80120
41,,006474696,00647469600025,00025,1998-07-01,01,SAINT-JOACHIM,44720
42,"SARL  LE GROS TILLEUL",006520126,00652012600019,00019,1965-01-01,01,ARGOULES,80120
43,"TRANSPORTS LEROY ET FILS",006520266,00652026600039,00039,2018-09-13,01,NEUVILLE-AU-BOIS,80140
44,,006610836,00661083600014,00014,1965-01-01,01,PONTHOILE,80860
45,"DECOUPAGE ET MOULAGE D'ELASTOMERES",006620124,00662012400021,00021,1994-01-18,11,BEAUCHAMPS,80770
46,"DECOUPAGE ET MOULAGE D'ELASTOMERES",006620124,00662012400039,00039,2005-01-01,02,BEAUCHAMPS,80770
47,,006640668,00664066800023,00023,1986-12-24,02,ALLOS,04260
48,"SOCIETE FRANCAISE OUTILS PROFESSIONNELS",006780514,00678051400086,00086,2012-01-16,11,COLLEVILLE,76400
49,"SA D'AMENAGEMENT TOURISTIQUE DE SELONNET",006850168,00685016800011,00011,1968-01-01,11,SELONNET,04140
50,"ETABLISSEMENTS GARCIN FRERES",006850234,00685023400029,00029,1900-01-01,01,MANOSQUE,04100
51,"SARL ETS MICHEL",006850259,00685025900026,00026,2013-08-01,11,"LE CHAFFAUT-SAINT-JURSON",04510
52,"BOUCHERIE CHEVALINE CHANZY",006950034,00695003400022,00022,1983-12-31,01,DIGNE-LES-BAINS,04000
53,"ENTREPRISE D'ANGELO",006950059,00695005900029,00029,1900-01-01,11,MANOSQUE,04100
54,"ATELIERS DE LA PROVIDENCE",006980239,00698023900013,00013,1965-01-01,11,MONTOIR-DE-BRETAGNE,44550
55,"L ETABLI GUERANDAIS STE",006980395,00698039500013,00013,1969-01-01,02,GUERANDE,44350
56,"GROUPE SOGAL",007020134,00702013400032,00032,2004-02-23,11,ABANCOURT,60220
57,"CENTRE REEDAPTAT L EAU VIVE",007050073,00705007300019,00019,1970-01-01,01,TURRIERS,04250
58,"SOCIETE DES ETABLISSEMENTS H. GUIGUES",007050123,00705012300038,00038,2016-10-31,02,DIGNE-LES-BAINS,04000
59,"SARL DURANCE BETON",007050149,00705014900017,00017,1970-01-01,02,VALENSOLE,04210
60,"BIJOUTERIE GAUCHER",007080039,00708003900022,00022,1988-10-01,02,SAINT-NAZAIRE,44600
61,"ENTREPRISE ROUAUD",007080229,00708022900011,00011,1970-01-01,02,SAINT-NAZAIRE,44600
62,"CARRIERES MEN ARVOR",007080773,00708077300034,00034,1900-01-01,02,SAINT-JUST,35550
63,"CARRIERES MEN ARVOR",007080773,00708077300091,00091,1981-01-01,01,SAINTE-GENEVIEVE-DES-BOIS,91700
64,"CARRIERES MEN ARVOR",007080773,00708077300141,00141,1984-09-01,01,PLOEREN,56880
65,"CARRIERES MEN ARVOR",007080773,00708077300158,00158,1990-11-01,01,THOUARE-SUR-LOIRE,44470
66,"CARRIERES MEN ARVOR",007080773,00708077300174,00174,1994-05-26,02,SAINT-YRIEIX-LA-PERCHE,87500
67,"CARRIERES MEN ARVOR",007080773,00708077300182,00182,1995-05-01,01,PACE,35740
68,"CARRIERES MEN ARVOR",007080773,00708077300232,00232,2002-12-01,01,MOLAY,89310
69,"CARRIERES MEN ARVOR",007080773,00708077300240,00240,2003-04-01,01,PONT-AVEN,29930
70,"CARRIERES MEN ARVOR",007080773,00708077300356,00356,2009-02-02,01,PLOUIGNEAU,29610
71,"SOCIETE LECLERC IMPRIMERIE",007120066,00712006600027,00027,2003-10-31,11,ABBEVILLE,80100
72,"ENTREPRISE DE BATIMENT FLAQUET",007120082,00712008200040,00040,2000-04-01,01,VERTON,62180
73,"BRUNELLE PRESSING",007120108,00712010800035,00035,1900-01-01,02,AMIENS,80000
74,"SOCIETE NAZAIRIENNE DE DEVELOPPEMENT",007180516,00718051600135,00135,2013-12-19,11,SAINT-NAZAIRE,44600
75,,007211253,00721125300021,00021,1996-04-01,01,ABBEVILLE,80100
76,"SOCIETE VANNERIE CANDAS FRERES",007220338,00722033800011,00011,1964-01-01,11,"LE BOISLE",80150
77,"L.M.E. TROUCHE HOLDING",007250053,00725005300076,00076,1987-12-07,01,DIGNE-LES-BAINS,04000
78,"ENTREPRISE PIERRE PESCE",007250202,00725020200046,00046,1979-01-01,01,L'ESCALE,04160
79,"ENTREPRISE PIERRE PESCE",007250202,00725020200053,00053,2006-01-01,01,CHATEAU-ARNOUX-SAINT-AUBAN,04160
80,"SARL POMMIER",007280308,00728030800037,00037,2005-05-01,02,SAINT-ANDRE-DES-EAUX,44117
81,ATLAGEL,007280365,00728036500128,00128,2014-12-28,11,VANNES,56000
82,"GINEAU PERE ET FILS",007280456,00728045600026,00026,1992-05-01,02,SAINT-NAZAIRE,44600
83,"ETS ANEZO",007280472,00728047200023,00023,1900-01-01,11,MESQUER,44420
84,"ETABLISSEMENTS CORNE HENRI",007320039,00732003900014,00014,1973-01-01,02,AGENVILLERS,80150
85,"ETABLISSEMENTS LAGRANGE",007320187,00732018700029,00029,1900-01-01,11,ABBEVILLE,80100
86,"DOMAINE DE DIANE",007320211,00732021100027,00027,2001-10-04,11,QUEND,80120
87,"ETABLISSEMENTS BLANC ET FILS",007350077,00735007700017,00017,1964-01-01,02,DIGNE-LES-BAINS,04000
88,"SOCIETE FORESTIERE CALVI",007350168,00735016800014,00014,1973-01-01,02,NOYERS-SUR-JABRON,04200
89,"ENTREPRISE MINETTO",007350200,00735020000031,00031,1999-04-01,11,BRIGNOLES,83170
90,"WINDAL & KLEIN",007380314,00738031400059,00059,2018-09-03,11,"LE POULIGUEN",44510
91,"VETEMENTS YVES",007380454,00738045400012,00012,1973-01-01,01,COUERON,44220
92,COPROPRIETAIRES,007400765,00740076500017,00017,1994-12-25,01,ANGOULEME,16000
93,"COPRO RES LES VOILIERS",007455306,00745530600014,00014,1994-12-25,01,"LA ROCHELLE",17000
94,"GESTRIM GARAGES JULES NORIA",007663917,00766391700016,00016,1994-12-25,01,LIMOGES,87000
95,"COPROPRIETE PERRAULT",007926215,00792621500018,00018,1994-12-25,01,BRIVE-LA-GAILLARDE,19100
96,"COPROPRIETE CHAMBORD",007926611,00792661100018,00018,1994-12-25,01,BRIVE-LA-GAILLARDE,19100
97,"COPROPRIETE CLEMENCEAU",007926660,00792666000015,00015,1994-12-25,01,TULLE,19000
98,"COPROPRIETE PRIEUR",007926686,00792668600010,00010,1994-12-25,01,BRIVE-LA-GAILLARDE,19100
99,"COPROPRIETE CARNOT",007927346,00792734600010,00010,1994-12-25,01,USSEL,19200
100,"PROPRIETE CREDIT AGRICOLE",007927544,00792754400010,00010,1994-12-25,01,TULLE,19000
101,"COPROPRIETE DUNANT",007927577,00792757700010,00010,1994-12-25,01,TULLE,19000
102,"SOVIM COP MANIGNE 8",008020034,00802003400016,00016,1994-12-25,01,LIMOGES,87000
103,"TOURNIEROUX COP LOUYAT 90",008020406,00802040600016,00016,1994-12-25,01,LIMOGES,87100
104,"GESTRIM COP J D'ARC",008020497,00802049700015,00015,1994-12-25,01,LIMOGES,87000
105,"COPROPRIETE LE MONTLHERY",008020513,00802051300019,00019,1994-12-25,01,LIMOGES,87000
106,"GESTRIM COP RENOIR",008020521,00802052100012,00012,1994-12-25,01,LIMOGES,87000
107,"GESTRIM COP DU THEATRE",008020547,00802054700017,00017,1994-12-25,01,LIMOGES,87000
108,"GESTRIM COP F BUISSON 35",008020554,00802055400013,00013,1994-12-25,01,LIMOGES,87000
109,"GESTRIM LIMOUSIN RESIDENCE LES JACINTHES",008020596,00802059600014,00014,1994-12-25,01,LIMOGES,87000
110,"GESTRIM LIMOUSIN RES LA CORNICHE",008020620,00802062000012,00012,1994-12-25,01,LIMOGES,87000
111,"SYNDIC COPROP EDOUARD VAILLANT",008020661,00802066100016,00016,1994-12-25,01,LIMOGES,87000
112,"SYNDICAT DES COPROPRIETAIRES",008020695,00802069500014,00014,1994-12-25,01,LIMOGES,87000
113,"GESTRIM LIMOUSIN COPROPRIETE DU BESSOL",008020703,00802070300016,00016,1994-12-25,01,LIMOGES,87100
114,"GESTRIM COP 3 ET 5 RUE VOCHAVE",008020752,00802075200013,00013,1994-12-25,01,LIMOGES,87000
115,"CO IMM EDOUARD VAILLANT",008020836,00802083600014,00014,1994-12-25,01,LIMOGES,87000
116,"SYND GESTRIM COP GARIBALDI 53",008020844,00802084400018,00018,1994-12-25,01,LIMOGES,87000
117,"SYND COPROPRIETAIRES 44 RUE CHATEAUROUX",008020877,00802087700018,00018,1994-12-25,01,LIMOGES,87100
118,"SOVIM COP F VILLON",008021057,00802105700016,00016,1994-12-25,01,LIMOGES,87000
119,"UFFI COP BREMONTIER 7",008021107,00802110700019,00019,1994-12-25,01,LIMOGES,87000
120,"GESTRIM COP GAMBETTA 40",008021289,00802128900015,00015,1994-12-25,01,LIMOGES,87000
121,"CO IMM EDISON VENTADOUR",008021305,00802130500019,00019,1994-12-25,01,LIMOGES,87000
122,"GESTRIM POUR LA RLF",008021347,00802134700011,00011,1994-12-25,02,LIMOGES,87100
123,"GESTRIM COP DES ARTS 3",008021362,00802136200010,00010,1994-12-25,01,LIMOGES,87100
124,"GESTRIM COP FRESNEL 22",008021396,00802139600018,00018,1994-12-25,01,LIMOGES,87000
125,"GESTRIM COP T BAC 93",008021461,00802146100010,00010,1994-12-25,01,LIMOGES,87100
126,"GESTRIM COP GAY LUSSAC 12",008021495,00802149500018,00018,1994-12-25,01,LIMOGES,87000
127,"SDC ELISEE RECLUS",008021503,00802150300019,00019,1994-12-25,01,LIMOGES,87000
128,"GESTRIM COP RESIDENCE",008021529,00802152900014,00014,1994-12-25,01,LIMOGES,87100
129,"GESTRIM COP LE SIEGFRIED",008021537,00802153700017,00017,1994-12-25,01,LIMOGES,87000
130,"GESTRIM COP A BAUDIN 81",008021586,00802158600014,00014,1994-12-25,01,LIMOGES,87000
131,"GESTRIM COP GAI VERTHAMONT",008021594,00802159400018,00018,1994-12-25,01,LIMOGES,87000
132,"GESTRIM COP VOLTAIRE",008021610,00802161000012,00012,1994-12-25,01,LIMOGES,87100
133,"GESTRIM COP MONMEILLANT 3",008021628,00802162800014,00014,1994-12-25,01,LIMOGES,87000
134,"GESTRIM COP MONTALEMBERT",008021636,00802163600017,00017,1994-12-25,01,LIMOGES,87000
135,"GESTRIM COP P CURIE",008021644,00802164400011,00011,1994-12-25,01,LIMOGES,87000
136,"GESTRIM COP GRAND TILLEUL",008021651,00802165100016,00016,1994-12-25,01,LIMOGES,87000
137,"COPROPRIETE PERICHON BEY",008021677,00802167700011,00011,1994-12-25,01,LIMOGES,87100
138,"GESTRIM COP DU MIDI 18",008021685,00802168500014,00014,1994-12-25,01,LIMOGES,87000
139,"GESTRIM COP INGRES MONTEGU",008021735,00802173500017,00017,1994-12-25,01,LIMOGES,87000
140,"GESTRIM COP ROUSSILLON",008021776,00802177600011,00011,1994-12-25,01,LIMOGES,87000
141,"GESTRIM COP CHINCHAUVAUD",008021792,00802179200018,00018,1994-12-25,01,LIMOGES,87100
142,"GESTRIM COP LA SORRENTINE",008021834,00802183400018,00018,1994-12-25,01,LIMOGES,87000
143,"GESTRIM COP DUT COULANGES",008021859,00802185900015,00015,1994-12-25,01,LIMOGES,87000
144,"GESTRIM COP JEAN JAURES 5",008021909,00802190900018,00018,1994-12-25,01,LIMOGES,87000
145,"GESTRIM COP FOURIE 18",008021925,00802192500014,00014,1994-12-25,01,LIMOGES,87000
146,"GESTRIM ZUP AURENCE B8 9",008021933,00802193300018,00018,1994-12-25,01,LIMOGES,87100
147,"COP 73 RUE D'ANTONY",008022162,00802216200013,00013,1994-12-25,01,LIMOGES,87000
148,"UFFI COP BUISSON 25 THOMAS",008022279,00802227900015,00015,1994-12-25,01,LIMOGES,87000
149,"UFFI RES DUMONT DE LATTRE",008022386,00802238600018,00018,1994-12-25,01,LIMOGES,87000
150,"UFFI COP PETIT TREUIL 44",008022444,00802244400015,00015,1994-12-25,01,LIMOGES,87100
151,"UFFI COP JEAN JAURES",008022501,00802250100012,00012,1994-12-25,01,LIMOGES,87000
152,"UFFI COP DU CHINCHAUVAUD 3",008022634,00802263400011,00011,1994-12-25,01,LIMOGES,87100
153,"UFFI RES LES PALMIERS",008022675,00802267500014,00014,1994-12-25,01,LIMOGES,87100
154,"UFFI RES CASSEAUX BOUGAINVI",008022709,00802270900011,00011,1994-12-25,01,LIMOGES,87000
155,"UFFI COP LA ROSE DES VENTS1",008022758,00802275800018,00018,1994-12-25,02,LIMOGES,87100
156,"UFFI COP LE CONSUL",008022865,00802286500011,00011,1994-12-25,01,LIMOGES,87000
157,"GESTRIM COP BENEDICTINS",008023285,00802328500011,00011,1994-12-25,01,LIMOGES,87000
158,"SYND COP LES DEUX TOURS",008023319,00802331900018,00018,1994-12-25,01,LIMOGES,87000
159,"GESTRIM COP CITE 16",008023376,00802337600018,00018,1994-12-25,01,LIMOGES,87000
160,"GESTRIM COP VENASSIER 6",008023491,00802349100015,00015,1994-12-25,01,LIMOGES,87100
161,"GESTRIM COP VAURIOL 26",008023699,00802369900013,00013,1994-12-25,01,LIMOGES,87100
162,"VRANCKX COP DE GAULLE",008023731,00802373100014,00014,1994-12-25,01,LIMOGES,87000
163,"GESTRIM COP OFFENBACH",008023764,00802376400015,00015,1994-12-25,01,LIMOGES,87000
164,"GESTRIM SYNDICAT IMMEUBLE",008023954,00802395400012,00012,1994-12-25,01,LIMOGES,87000
165,"GESTRIM RES L AURENCE BAT",008024101,00802410100019,00019,1994-12-25,01,LIMOGES,87100
166,"GESTRIM COP CHINCHAUVAUD 1",008024416,00802441600011,00011,1994-12-25,01,LIMOGES,87100
167,"GESTRIM COP HTS BEL AIR",008024424,00802442400015,00015,1994-12-25,01,LIMOGES,87000
168,"MIDI IMM COP 39 RUE HOCHE",008024465,00802446500018,00018,1994-12-25,01,LIMOGES,87100
169,"ROMECKI HENRI",008024507,00802450700017,00017,1994-12-25,01,LIMOGES,87000
170,"GESTRIM COP ST MAURICE",008024648,00802464800019,00019,1994-12-25,01,LIMOGES,87000
171,"GESTRIM IMMEUBLE MADOUMIER",008024689,00802468900013,00013,1994-12-25,01,LIMOGES,87100
172,"RESIDENCE LA COLLEGIALE",008024739,00802473900016,00016,1994-12-25,01,"LE DORAT",87210
173,"RESIDENCE FONTAINE VANTEAUX",008024770,00802477000011,00011,1994-12-25,01,LIMOGES,87000
174,"GESTRIM COP CHANTELAUVE 41",008024788,00802478800013,00013,1994-12-25,01,LIMOGES,87000
175,"GESTRIM IMM GAMBETTA 6 8",008025256,00802525600010,00010,1994-12-25,01,LIMOGES,87000
176,"GESTRIM COP DE BELFORT 14",008025272,00802527200017,00017,1994-12-25,01,LIMOGES,87100
177,"SOVIM COP DES GEMEAUX",008025306,00802530600013,00013,1994-12-25,01,LIMOGES,87100
178,"GESTRIM COP P ASTIER 1",008025363,00802536300014,00014,1994-12-25,01,LIMOGES,87000
179,"MIDI IMM COP SYMPHONIE",008025520,00802552000019,00019,1994-12-25,01,LIMOGES,87000
180,"MIDI IMM COP CLAIRETTES",008025959,00802595900019,00019,1994-12-25,01,LIMOGES,87000
181,"MIDI IMM COP LEONARD LIMOS",008026049,00802604900018,00018,1994-12-25,01,LIMOGES,87000
182,"GESTRIM LA ROCHE",008026429,00802642900012,00012,1994-12-25,01,LIMOGES,87000
183,"GESTRIM IMM REPUBLIQUE",008026437,00802643700015,00015,1994-12-25,01,LIMOGES,87000
184,"GESTRIM J B BLANC",008026445,00802644500018,00018,1994-12-25,01,LIMOGES,87100
185,"MIDI IMM COP L'ETRIER",008108862,00810886200015,00015,1994-12-25,01,LIMOGES,87000
186,"PRO GEST IMM COP D DUSSOUBS",008119240,00811924000011,00011,1994-12-25,01,LIMOGES,87000
187,"SOVIM COP DES ALLOIS",008119414,00811941400012,00012,1994-12-25,01,LIMOGES,87000
188,"SOVIM COP DE LA CITE",008119430,00811943000018,00018,1994-12-25,01,LIMOGES,87000
189,"GESTRIM COP 17 B ST BENOIT",008122418,00812241800018,00018,1994-12-25,01,LIMOGES,87000
190,"MIDI IMM COP MIRABEAU",008127920,00812792000018,00018,1994-12-25,01,LIMOGES,87000
191,"GESTRIM COP CLOS JULES NORI",008131708,00813170800011,00011,1994-12-25,01,LIMOGES,87000
192,"SYND COPROP RESIDENCE ST REMI GAMBETTA",008574311,00857431100018,00018,1995-12-25,01,RETHEL,08300
193,"SYND COPROP RESIDENCE LA VERRERIE",008574394,00857439400014,00014,1995-12-25,01,CHARLEVILLE-MEZIERES,08000
194,"SYND COPROP RESIDENCE NOTRE-DAME",008574402,00857440200015,00015,1994-12-25,01,CHARLEVILLE-MEZIERES,08000
195,"SYND COPROP RESIDENCE BUSSY",008574410,00857441000018,00018,1995-12-25,01,CHARLEVILLE-MEZIERES,08000
196,"SYND COPROP RESIDENCE LES HETRES",008574428,00857442800010,00010,1995-12-25,01,CHARLEVILLE-MEZIERES,08000
197,"SYND COPROP RESIDENCE COURS BRIAND",008574451,00857445100012,00012,1994-12-25,01,CHARLEVILLE-MEZIERES,08000
198,"SYND COPROP 1 3 5 RUE DES ETUVES",008574469,00857446900014,00014,1994-12-25,01,CHARLEVILLE-MEZIERES,08000
199,"SYND COPROP IMMEUBLE GAMMA 1",008574477,00857447700017,00017,1995-12-25,01,CHARLEVILLE-MEZIERES,08000
200,"SYND COPROP RESIDENCE LECLERE",008574485,00857448500010,00010,1995-12-25,01,CHARLEVILLE-MEZIERES,08000
201,"SYND COPROP RESIDENCE VOLTAIRE",008574527,00857452700019,00019,1995-12-25,01,CHARLEVILLE-MEZIERES,08000
202,"RESIDENCE RIMBAUD",008574592,00857459200013,00013,1995-12-25,01,CHARLEVILLE-MEZIERES,08000
